"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1762","Assam","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18021/2026-2027/243321","SOUTH SALMARA MANCACHAR(Deputy Commissioner South Salmara Mankachar_IDA)","RAKIBUL HUSSAIN","DHUBRI","26-Aug-2026","SHAZIBUL HASSAN MOLLAH","Payment In-Progress","306330"
"1763","Assam","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18021/2026-2027/243321","SOUTH SALMARA MANCACHAR(Deputy Commissioner South Salmara Mankachar_IDA)","RAKIBUL HUSSAIN","DHUBRI","26-Aug-2026","SHAZIBUL HASSAN MOLLAH","Payment In-Progress","293670"
"1764","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/234654","JIND(DEPUTY COMMISSIONER JIND)","SELJA","SIRSA(SC)","26-Aug-2026","R S BARWALA INFRASTRUCTURE","Payment In-Progress","173800"
"1765","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/215124","JIND(DEPUTY COMMISSIONER JIND)","SELJA","SIRSA(SC)","24-Aug-2026","R S BARWALA INFRASTRUCTURE","Payment In-Progress","173500"
"1766","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/252997","JIND(DEPUTY COMMISSIONER JIND)","SELJA","SIRSA(SC)","24-Aug-2026","R S BARWALA INFRASTRUCTURE","Payment In-Progress","173250"
"1767","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/234877","JIND(DEPUTY COMMISSIONER JIND)","SELJA","SIRSA(SC)","24-Aug-2026","R S BARWALA INFRASTRUCTURE","Payment In-Progress","173350"
"1768","Haryana","Purchase of mobile water tankers","WS/MP18066/2025-2026/234876","JIND(DEPUTY COMMISSIONER JIND)","SELJA","SIRSA(SC)","24-Aug-2026","R S BARWALA INFRASTRUCTURE","Payment In-Progress","173200"
"1769","Chhattisgarh","Installing tube-wells and borewells","WS/MP429/2026-2027/295384","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","24-Jul-2026","CEO Janpad Katghora","Payment In-Progress","145000"
"1770","Chhattisgarh","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18354/2025-2026/161314","SURGUJA(Collector Surguja_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","21-Aug-2026","Anunabh Corporation","Payment In-Progress","499900"
"1771","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300084","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1772","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300071","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1773","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300070","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1774","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300069","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1775","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300068","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1776","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300067","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1777","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300079","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1778","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300081","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1779","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300085","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1780","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300091","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1781","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300092","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1782","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300094","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1783","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300095","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1784","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300096","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1785","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300098","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1786","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300099","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1787","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300100","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1788","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300101","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1789","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300102","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1790","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300104","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1791","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300065","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1792","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300108","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1793","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300105","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1794","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300107","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1795","Bihar","Purchase of furniture and fixtures for educational purposes","WS/MP18036/2026-2027/300082","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","ARUN BHARTI","JAMUI(SC)","25-Aug-2026","CHANCH PRO ENGINEERS","Payment In-Progress","249990"
"1796","Odisha","Construction of community centers and community halls","WS/MP18358/2025-2026/185595","GANJAM(DISTRICT COLLECTOR GANJAM_IDA)","ANITA SUBHADARSHINI","ASKA","24-Aug-2026","SARMISTA PANDA","Payment In-Progress","400000"
"1797","Tamil Nadu","Lighting of public spaces","WS/MP18176/2025-2026/232405","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","14-Aug-2026","SSR Enterprises","Payment In-Progress","669091"
"1798","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP18050/2025-2026/266345","Uttar Bastar Kanker(DISTRICT COLLECTOR KANKER_IDA)","BHOJRAJ NAG","KANKER(ST)","17-Aug-2026","Sarpanch Gram Panchayat Piproud","Payment In-Progress","750000"
"1799","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241246","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","19-Aug-2026","jai maa bhawani construction","Payment In-Progress","129800"
"1800","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18104/2026-2027/287612","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","25-Aug-2026","GRAM PANCHAYAT RAIKHEDI SFC","Payment In-Progress","50000"
"1801","Himachal Pradesh","Development of playfields and sports grounds","WS/MP18328/2025-2026/252741","KINNAUR(DEPUTY COMMISSIONER KINNAUR_IDA)","Kangana Ranaut","MANDI","13-Aug-2026","Ramesh","Payment In-Progress","18600"
"1802","Himachal Pradesh","Development of playfields and sports grounds","WS/MP18328/2025-2026/252741","KINNAUR(DEPUTY COMMISSIONER KINNAUR_IDA)","Kangana Ranaut","MANDI","13-Aug-2026","Kashi Ram","Payment In-Progress","18600"
"1803","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/234257","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","20-Aug-2026","MS TIKAM CHAND KUMAWAT CONTRACTOR","Payment In-Progress","286219"
"1804","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/234255","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","20-Aug-2026","MS TIKAM CHAND KUMAWAT CONTRACTOR","Payment In-Progress","398549"
"1805","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP638/2025-2026/235577","TIKAMGARH(DISTRICT COLLECTOR TIKAMGARH_IDA)","Virendra Kumar","TIKAMGARH(SC)","25-Jul-2026","gram panchayat sijora","Payment In-Progress","103817"
"1806","Rajasthan","Construction of water tanks","WS/MP18170/2025-2026/168850","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","15-Aug-2026","SUMAN","Payment In-Progress","1995"
"1807","Punjab","Purchase of mobile water tankers","WS/MP716/2025-2026/203942","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Aug-2026","Rishab Dev Agro Tech","Payment In-Progress","150000"
"1808","Himachal Pradesh","Development of playfields and sports grounds","WS/MP18328/2025-2026/252741","KINNAUR(DEPUTY COMMISSIONER KINNAUR_IDA)","Kangana Ranaut","MANDI","13-Aug-2026","Rajan Magar","Payment In-Progress","18600"
"1809","Himachal Pradesh","Development of playfields and sports grounds","WS/MP18328/2025-2026/252741","KINNAUR(DEPUTY COMMISSIONER KINNAUR_IDA)","Kangana Ranaut","MANDI","13-Aug-2026","Bhupesh Kumar","Payment In-Progress","16469"
"1810","Himachal Pradesh","Development of playfields and sports grounds","WS/MP18328/2025-2026/252741","KINNAUR(DEPUTY COMMISSIONER KINNAUR_IDA)","Kangana Ranaut","MANDI","13-Aug-2026","Govind Singh","Payment In-Progress","16469"
"1811","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2026-2027/252254","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","21-Aug-2026","SAGAR K C","Payment In-Progress","249284"
"1812","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2026-2027/252255","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","21-Aug-2026","SAGAR K C","Payment In-Progress","249202"
"1813","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2026-2027/252277","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","21-Aug-2026","SAGAR K C","Payment In-Progress","199389"
"1814","Himachal Pradesh","Development of playfields and sports grounds","WS/MP18328/2025-2026/252741","KINNAUR(DEPUTY COMMISSIONER KINNAUR_IDA)","Kangana Ranaut","MANDI","13-Aug-2026","Santosh Kumari","Payment In-Progress","16469"
"1815","Himachal Pradesh","Development of playfields and sports grounds","WS/MP18328/2025-2026/252741","KINNAUR(DEPUTY COMMISSIONER KINNAUR_IDA)","Kangana Ranaut","MANDI","13-Aug-2026","Reeta","Payment In-Progress","16469"
"1816","Himachal Pradesh","Development of playfields and sports grounds","WS/MP18328/2025-2026/252741","KINNAUR(DEPUTY COMMISSIONER KINNAUR_IDA)","Kangana Ranaut","MANDI","13-Aug-2026","Jag Mohan Singh","Payment In-Progress","16469"
"1817","Himachal Pradesh","Development of playfields and sports grounds","WS/MP18328/2025-2026/252741","KINNAUR(DEPUTY COMMISSIONER KINNAUR_IDA)","Kangana Ranaut","MANDI","13-Aug-2026","Kiran Prabha","Payment In-Progress","16469"
"1818","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161694","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-Aug-2026","T Bhanumathi","Payment In-Progress","87493"
"1819","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161695","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-Aug-2026","T Bhanumathi","Payment In-Progress","87586"
"1820","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161701","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-Aug-2026","T Bhanumathi","Payment In-Progress","87858"
"1821","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161689","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-Aug-2026","T Bhanumathi","Payment In-Progress","87586"
"1822","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161690","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-Aug-2026","T Bhanumathi","Payment In-Progress","87586"
"1823","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161698","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-Aug-2026","T Bhanumathi","Payment In-Progress","87858"
"1824","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161700","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-Aug-2026","T Bhanumathi","Payment In-Progress","48595"
"1825","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161696","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-Aug-2026","T Bhanumathi","Payment In-Progress","87586"
"1826","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161691","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-Aug-2026","T Bhanumathi","Payment In-Progress","48595"
"1827","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161699","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-Aug-2026","T Bhanumathi","Payment In-Progress","87858"
"1828","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161702","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-Aug-2026","T Bhanumathi","Payment In-Progress","87586"
"1829","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161697","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-Aug-2026","T Bhanumathi","Payment In-Progress","87858"
"1830","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161688","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-Aug-2026","T Bhanumathi","Payment In-Progress","87766"
"1831","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161693","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-Aug-2026","T Bhanumathi","Payment In-Progress","48595"
"1832","Andhra Pradesh","Street lights","WS/MP529/2024-2025/161692","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","05-Aug-2026","T Bhanumathi","Payment In-Progress","48595"
"1833","Jammu And Kashmir","Improvement of electricity distribution infrastructure","WS/MP18260/2025-2026/185393","SRINAGAR(DEPUTY COMMISSIONER SRINAGAR_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","06-Jul-2026","ABUTURAAB ELECTRICAL ENGINEERING","Payment In-Progress","400186"
"1834","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP710/2026-2027/280787","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Vaithilingam Ve","Puducherry","07-Aug-2026","SWAMINATHAN S","Payment In-Progress","665666"
"1835","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP815/2025-2026/236772","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","20-May-2026","Buddha Enterprises","Payment In-Progress","1865906"
"1836","Karnataka","Construction of buildings for community cultural activities","WS/	 MP620/2025-2026/206427","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","29-Jul-2026","MANJUNATHA TIPPANNA WADDAR","Payment In-Progress","296964"
"1837","Maharashtra","Lighting of public spaces","WS/MP18136/2026-2027/195293","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","AMAR SHARADRAO KALE","WARDHA","20-Aug-2026","NINAD PRADIPRAO WANKHEDE","Payment In-Progress","398363"
"1838","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP524/2025-2026/211616","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Midhun Reddy","RAJAMPET","04-Jul-2026","PRESIDENT VILLAGE LEVEL COMMITTEE KVRR PURAM CHITVEL","Payment In-Progress","267654"
