"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"3417","Normal/Others","WS/MP103/2023-2024/97485-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Ghinoda JP Khachrod District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3418","Normal/Others","WS/MP103/2023-2024/97486-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Salakhedi JP Tarana District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3419","Normal/Others","WS/MP103/2023-2024/97487-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP gangedi, JP Ujjain District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3420","Normal/Others","WS/MP103/2023-2024/97488-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP GP Kaluheda JP Ghatiya District Ujjain","05-Feb-2024","205054","20-Feb-2024"
"3421","Normal/Others","WS/MP103/2023-2024/97489-Purchase of mobile water tankers","Madhya Pradesh","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker capacity 5000 Liter Tyre 900 X 20 With Fire Fighter PUMP 	NP Makdone City Makdon District Ujjain Ward 13","05-Feb-2024","205054","20-Feb-2024"
"3422","Normal/Others","WS/MP107/2024-2025/97886-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","CC Road construction","05-Feb-2024","222000","01-Aug-2024"
"3423","Normal/Others","WS/MP107/2024-2025/97887-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction of CC Road","05-Feb-2024","225000","01-Aug-2024"
"3424","Normal/Others","WS/MP107/2024-2025/97888-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction of CC Road","05-Feb-2024","229000","01-Aug-2024"
"3425","Normal/Others","WS/MP107/2024-2025/97894-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction of CC Road","05-Feb-2024","176000","01-Aug-2024"
"3426","Normal/Others","WS/MP107/2024-2025/97895-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction of CC Road","05-Feb-2024","229000","01-Aug-2024"
"3427","Normal/Others","WS/MP107/2024-2025/97896-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction of CC road","05-Feb-2024","192000","01-Aug-2024"
"3428","Normal/Others","WS/MP107/2023-2024/97899-Construction of culverts and bridges","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction of RCC Culvert","05-Feb-2024","1500000","15-Mar-2024"
"3429","Normal/Others","WS/MP107/2023-2024/97909-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction of CC Road","05-Feb-2024","1500000","26-Feb-2024"
"3430","Normal/Others","WS/MP147/2024-2025/98064-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of CC interlocking and tin sand in public cremation ground Gram Panchayat Dinar.","06-Feb-2024","987328","31-Jul-2024"
"3431","Normal/Others","WS/MP147/2024-2025/98066-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction work of CC block in Hanumanpura locality of Kadvo ka mohalla","06-Feb-2024","998366","07-Dec-2024"
"3432","Normal/Others","WS/MP147/2024-2025/98067-Construction of rooms and halls in school and colleges","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For the construction of boundary wall of the playground of Raumavi Gowdi in Gram Panchayat Garhbasai, Panchayat Samiti Thanagaji.","06-Feb-2024","986448","31-Jul-2024"
"3433","Normal/Others","WS/MP147/2024-2025/98069-Construction of public libraries and reading rooms","Rajasthan","BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Someshwar Mahadav in Jhupel for the construction of Khuli Baradari in Garnavat.","06-Feb-2024","1000000","19-Sep-2024"
"3434","Normal/Others","WS/MP850/2023-2024/98224-Development of public parks","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM - SIKANDERPUR                              BHAINSWAL MEIN DR. BHEEMRAO AMEDKAR PARK MEIN INTERLOCKING TILES  NIRMAN .. IA(KARYADAI SANSTATHA)- NAGAR PANCHAYAT PADALI GUJJAR","06-Feb-2024","401716","08-Mar-2024"
"3435","Normal/Others","WS/MP844/2024-2025/98410-Construction of community centers and community halls","Punjab","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","Recommendation of rupees 50 lacs for Construction of community center in Patiala from MPLADs","06-Feb-2024","5000000","24-Sep-2024"
"3436","Normal/Others","WS/MP147/2023-2024/98879-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of interlocking road from Mandori's house towards Ramlal Meena's house in Gram Panchayat Patan.","06-Feb-2024","958689","16-Mar-2024"
"3437","Normal/Others","WS/MP140/2023-2024/98981-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Nawanpind Donawala. 2mm stainless sheet AISI 304 Material etc. (SC)","07-Feb-2024","336300","22-Feb-2024"
"3438","Normal/Others","WS/MP138/2023-2024/99272-Purchase of hospital equipment","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","supply, Installation and required electrification of medical equipment for labour rooms at the rural medical centre under MPLADS, a health-related project for mother and newborn baby care, Block Rasulpur, Place Madhuban, Health Unit Name -CHC MAdhuban","07-Feb-2024","500000","07-Mar-2024"
"3439","Normal/Others","WS/MP138/2023-2024/99273-Purchase of hospital equipment","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","supply, Installation and required electrification of medical equipment for labour rooms at the rural medical centre under MPLADS, a health-related project for mother and newborn baby care, Block Rasulpur, Place BRAHMABARADA, Health Unit Name -PHC, BRAHMABARADA","07-Feb-2024","500000","07-Mar-2024"
"3440","Normal/Others","WS/MP138/2023-2024/99274-Purchase of hospital equipment","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","supply, Installation and required electrification of medical equipment for labour rooms at the rural medical centre under MPLADS, a health-related project for mother and newborn baby care, Block Rasulpur, Place HARIPURHAT Health Unit Name -PHC, HARIPURHAT","07-Feb-2024","500000","07-Mar-2024"
"3441","Normal/Others","WS/MP103/2023-2024/99359-Purchase of mobile water tankers","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker 5000 Lts.GI coated with fire fighter pump , tyere 900x20.Gram panchayat Hrniya khedi Mhow Dist. Indore","14-Feb-2024","205054","20-Feb-2024"
"3442","Normal/Others","WS/MP103/2023-2024/99360-Purchase of mobile water tankers","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker 5000 Lts.GI coated with fire fighter pump , tyer 900x20. Gram Panchayat Ambada , Mhow Dist Indore","14-Feb-2024","205054","20-Feb-2024"
"3443","Normal/Others","WS/MP103/2023-2024/99361-Purchase of mobile water tankers","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker 5000 Lts.GI coated with fire fighter pump , tyere 900x20. Gram Panchyat Kuwali , Mhow Dist Indore","14-Feb-2024","205054","20-Feb-2024"
"3444","Normal/Others","WS/MP103/2023-2024/99362-Purchase of mobile water tankers","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker 5000 Lts.GI coated with fire fighter pump , tyere 900x20. Gram Panchayat Rampuriyakadwali , Mhow Indore","14-Feb-2024","205054","20-Feb-2024"
"3445","Normal/Others","WS/MP103/2023-2024/99363-Purchase of mobile water tankers","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker 5000 Lts.GI coated with fire fighter pump , tyres 900x20. Gram Panchayat Pipliya, Mhow, Indore","14-Feb-2024","205054","20-Feb-2024"
"3446","Normal/Others","WS/MP103/2023-2024/99401-Purchase of mobile water tankers","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker 5000 Lts.GI coated with fire fighter pump , tyre 900x20. Gram Panchayat  rajpura kuti  JP Mhow District Indore","14-Feb-2024","205054","20-Feb-2024"
"3447","Normal/Others","WS/MP103/2023-2024/99403-Purchase of mobile water tankers","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker 5000 Lts.GI coated with fire fighter pump , tyere 900x20.Gram Panchyat Kulthana.  Mhow Dist. Indore","14-Feb-2024","205054","20-Feb-2024"
"3448","Normal/Others","WS/MP103/2023-2024/99409-Purchase of mobile water tankers","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker 5000 Lts.GI coated with fire fighter pump , tyre 900x20. Gram Panchayat Sonway, Tehsil Rau, Dist. Indore","14-Feb-2024","205054","20-Feb-2024"
"3449","Normal/Others","WS/MP103/2023-2024/99412-Purchase of mobile water tankers","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker 5000 Lts.GI coated with fire fighter pump , tyere 900x20. Gram Panchayat Akawi Teh. Mhow Dist. Indore (MP)","14-Feb-2024","205054","20-Feb-2024"
"3450","Normal/Others","WS/MP103/2023-2024/99417-Purchase of mobile water tankers","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Water tanker 5000 Lts.GI coated with fire fighter pump , tyere 900x20. Gram Panchayat Solsinda, Teh. Sawer, Dist. Indore","14-Feb-2024","205054","20-Feb-2024"
"3451","Normal/Others","WS/MP850/2024-2025/99992-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM PANCHAYAT HARIPUR KALAN MEIN WARD NO- 13 MEIN NAVNEET GAUR KE MAKAN SE RAMA KRISHNA KE MAKAN TAK CC TILES ROAD NIRMAN . IA(KARYADAI SANSTATHA) - NAGAR PALIKA PARISHAD,HERBURTPUR","08-Feb-2024","500000","29-Aug-2024"
"3452","Normal/Others","WS/MP850/2024-2025/99993-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM PANCHAYAT HARIPUR KALAN MEIN WARD NO - 13 MEIN SHIV RUDRA DHAM SE BHISHM PRATAP SINGH KE MAKAN TAK CC TILES ROAD NIRMAN IA(KARYADAI SANSTATHA) - NAGAR PALIKA PARISHAD HERBURTPUR","08-Feb-2024","500000","29-Aug-2024"
"3453","Normal/Others","WS/MP850/2023-2024/99994-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM PANCHAYAT HARIPUR KALAN WARD NO- 14 MEIN SAPNA KE MAKAN SE DWEDI JI KE MAKAN TAK CC TILES ROAD NIRMAN.. IA(KARYADAI SANSTATHA)-NAGAR PALIKA PARISHAD HERBURTPUR","08-Feb-2024","550000","15-Mar-2024"
"3454","Normal/Others","WS/MP850/2023-2024/99995-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM PANCHAYAT HARIPUR KALAN WARD NO- 15 MEIN HARIOM KE MAKAN SE KRISHNA SHESH KE MAKAN TAK CC TILES ROAD NIRMAN.. IA(KARYADAI SANSTATHA )- NAGAR PALIKA PARISHAD HERBURTPUR","08-Feb-2024","1000000","15-Mar-2024"
"3455","Normal/Others","WS/MP850/2023-2024/99996-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM PAMCHAYAT HARIPUR KALAN WARD NO - 8 MEIN RAJESHWARI KE MAKAN SE MANOJ KE MAKAN TAK CC TILES ROAD NIRMAN KARYA .. IA( KARYADAI SANSTATHA ) - NAGAR PALIKA PARISHAD HERBURTPUR","08-Feb-2024","460000","15-Mar-2024"
"3456","Normal/Others","WS/MP850/2023-2024/99997-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM PANCHAYAT JHAJRA MEIN WARD NO - 12 BANSIWALA MEIN NIRMALA BISHT KE MAKAN SE CHAKRATA MARG TAK CC TILES ROAD NIRMAN .. IA(KARYADAI SANSTATHA )- NAGAR PALIKA PARISHAD HERBURTPUR","08-Feb-2024","1500000","15-Mar-2024"
"3457","Normal/Others","WS/MP147/2023-2024/100116-Construction of public libraries and reading rooms","Rajasthan","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of community building in Gram Panchayat Barangana.","08-Feb-2024","999975","14-Mar-2024"
"3458","Normal/Others","WS/MP850/2023-2024/100850-Development of public parks","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","AZADNAGAR WARD NO-9 KE GANGA VIHAR COLONY MEIN IP INTER COLLEGE KE SAMNE PARK KA SONDARYEKARAN ... IA(KARYADAI SANSTATHA )- NAGAR PANCHAYAT SULTANPUR","08-Feb-2024","594000","27-Feb-2024"
"3459","Normal/Others","WS/MP850/2023-2024/100851-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","WARD NO -9 AZAD NAGAR GANGA VIHAR COLONY MEIN SATISH KUMAR KE GHAR SE RAJIV KAUSHIK KE GHAR TAK CC ROAD NIRMAN.. IA( KARYADAI SANSTATHA ) - NAGAR PANCHAYAT SULTANPUR","08-Feb-2024","791602","27-Feb-2024"
"3460","Normal/Others","WS/MP850/2023-2024/100863-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","THANA KHANKHAL MEIN MAHILA HELP DESK HETU ROOM EVAM TOILET KA NIRMAN .. IA( KARYADAI SANSTATHA )- NAGAR PANCHAYAT PADALI GUJJAR","09-Feb-2024","951274","12-Mar-2024"
"3461","Normal/Others","WS/MP850/2023-2024/100865-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","KOTWALI JAWALAPUR MEIN MAHILA HELP DESK HETU ROOM EVAM TOILET KA NIRMAN.. IA( KARYADAI SANSTATHA )- NAGAR PANCHAYAT PADALI GUJJAR","09-Feb-2024","973919","12-Mar-2024"
"3462","Normal/Others","WS/MP850/2023-2024/100866-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","KOTWALI LAKSAR MEIN MAHILA HELP DESK HETU ROOM EVAM TOILET KA NIRMAN.. IA(KARYADAI SANSTATHA )- NAGAR PANCHAYAT PADALI GUJJAR","09-Feb-2024","990952","12-Mar-2024"
"3463","Normal/Others","WS/MP850/2023-2024/100867-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM PANCHAYAT KHANPUR ,VIKASKHAND KHANPUR KE THANA KHANPUR MEIN MAHILA HELP DESK HETU ROOM EVAM TOILET KA NIRMAN.. IA(KARYADAI SANSTATHA )- NAGAR PANCHAYAT PADALI GUJJAR","09-Feb-2024","1000000","12-Mar-2024"
"3464","Normal/Others","WS/MP850/2023-2024/100868-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","KOTWALI ROORKEE MEIN MAHILA HELP DESK HETU ROOM EVAM TOILET KA NIRMAN .. IA( KARYADAI SANSTATHA ) - NAGAR PANCHAYAT PADALI GUJJAR","09-Feb-2024","945414","12-Mar-2024"
"3465","Normal/Others","WS/MP850/2023-2024/100869-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","THANA SHYAMPUR MEIN MAHILA HELP DESK HETU ROOM EVAM TOILET KA NIRMAN.. IA( KARYADAI SANSTATHA )- NAGAR PANCHAYAT PADALI GUJJAR","09-Feb-2024","985228","12-Mar-2024"
"3466","Normal/Others","WS/MP078/2023-2024/100963-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Pakka path from kathasu road upto Shishi Ram Rajta House, Village and G.P. Kathasu, Dev. Block Jubbal, District Shimla (H.P.) (Executing agency BDO, Jubbal)","09-Feb-2024","300000","16-Mar-2024"
